,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-08-01,0.0,0.0,0.0,0.0,0.0,1604789
1,2020-08-02,0.0,0.0,0.0,0.0,0.0,193098
2,2020-08-03,0.0,0.0,0.0,0.0,0.0,129225
3,2020-08-04,0.0,0.0,0.0,0.0,0.0,19717
4,2020-08-05,0.0,0.0,0.0,0.0,0.0,26869
5,2020-08-06,0.0,0.0,0.0,0.0,0.0,8708
6,2020-08-07,0.0,0.0,0.0,0.0,0.0,17529
7,2020-08-08,0.0,0.0,0.0,0.0,0.0,13773
8,2020-08-09,0.0,0.0,0.0,0.0,0.0,5190
9,2020-08-10,0.0,0.0,0.0,0.0,0.0,6105
10,2020-08-11,0.0,0.0,0.0,0.0,0.0,2896
11,2020-08-12,0.0,0.0,0.0,0.0,0.0,1868
12,2020-08-13,0.0,0.0,0.0,0.0,0.0,1723
13,2020-08-14,0.0,0.0,0.0,0.0,0.0,3567
14,2020-08-15,0.0,0.0,0.0,0.0,0.0,1479
15,2020-08-16,0.0,0.0,0.0,0.0,0.0,506
16,2020-08-17,0.0,0.0,0.0,0.0,0.0,543
17,2020-08-18,0.0,0.0,0.0,0.0,0.0,153
18,2020-08-19,0.0,0.0,0.0,0.0,0.0,3411
19,2020-08-20,0.0,0.0,0.0,0.0,0.0,2058
20,2020-08-21,0.0,0.0,0.0,0.0,0.0,4894
21,2020-08-22,0.0,0.0,0.0,0.0,0.0,8019
22,2020-08-23,0.0,0.0,0.0,0.0,0.0,763
23,2020-08-24,0.0,0.0,0.0,0.0,0.0,32
24,2020-08-25,0.0,0.0,0.0,0.0,0.0,377
25,2020-08-26,0.0,0.0,0.0,0.0,0.0,595
26,2020-08-27,0.0,0.0,0.0,0.0,0.0,2404
27,2020-08-28,0.0,0.0,0.0,0.0,0.0,7426
28,2020-08-29,0.0,0.0,0.0,0.0,0.0,4191
29,2020-08-30,0.0,0.0,0.0,0.0,0.0,40609
30,2020-08-31,0.0,0.0,0.0,0.0,0.0,6653
31,2020-09-01,0.0,0.0,0.0,0.0,0.0,16378
32,2020-09-02,0.0,0.0,0.0,0.0,0.0,61769
33,2020-09-03,0.0,0.0,0.0,0.0,0.0,70619
34,2020-09-04,0.0,0.0,0.0,0.0,0.0,36623
35,2020-09-05,0.0,0.0,0.0,0.0,0.0,12080
36,2020-09-06,0.0,0.0,0.0,0.0,0.0,15529
37,2020-09-07,0.0,0.0,0.0,0.0,0.0,5673
38,2020-09-08,0.0,0.0,0.0,0.0,0.0,4343
39,2020-09-09,0.0,0.0,0.0,0.0,0.0,2993
40,2020-09-10,0.0,0.0,0.0,0.0,0.0,656
41,2020-09-11,0.0,0.0,0.0,0.0,0.0,79
42,2020-09-12,0.0,0.0,0.0,0.0,0.0,728
43,2020-09-13,0.0,0.0,0.0,0.0,0.0,697
44,2020-09-14,0.0,0.0,0.0,0.0,0.0,883
45,2020-09-15,0.0,0.0,0.0,0.0,0.0,429
46,2020-09-16,0.0,0.0,0.0,0.0,0.0,101
47,2020-09-17,0.0,0.0,0.0,0.0,0.0,1301
48,2020-09-18,0.0,0.0,0.0,0.0,0.0,290
49,2020-09-19,0.0,0.0,0.0,0.0,0.0,3568
50,2020-09-20,0.0,0.0,0.0,0.0,0.0,2796
51,2020-09-21,0.0,0.0,0.0,0.0,0.0,1881
52,2020-09-22,0.0,0.0,0.0,0.0,0.0,468
53,2020-09-23,0.0,0.0,0.0,0.0,0.0,505
54,2020-09-24,0.0,0.0,0.0,0.0,0.0,172
